id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
metamask-crypto-wallet-trust-0030,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-010-img_682777b09d4c.webp,seed-phrase-onboarding,768,528,#eddfda,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0031,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-011-img_74ee1fe1f2bc.webp,wallet-home-balance,768,471,#646e77,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0032,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-012-img_79357e9e44f7.webp,token-list,768,441,#e5e4e3,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0033,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-013-img_7fc13477f07b.webp,send-receive-flow,768,418,#eaeaea,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0034,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-014-img_9418a3977561.webp,swap-quote-card,768,528,#b294a4,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0035,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-015-img_9931e9e9d3f6.webp,network-selector,768,523,#e9e8ea,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0036,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-016-img_c1ee858150cb.webp,gas-fee-warning,768,528,#d5d6d5,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0037,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-017-img_cbb8a46deaf7.webp,connect-dapp-permission,768,573,#865f9f,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0038,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-018-img_d3749a398dd6.webp,security-warning,768,352,#57755e,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0039,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-019-img_e5db5dbf4718.webp,portfolio-card,768,404,#2c0d3f,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0040,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-020-img_f26200464372.webp,seed-phrase-onboarding,768,528,#5f1607,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0041,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-001-img_05c0c0c367ca.webp,wallet-home-balance,768,521,#e2e3e8,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0042,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-002-img_0b1835537597.webp,token-list,768,521,#ebeaeb,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0043,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-003-img_18b05eaec4d3.webp,send-receive-flow,768,521,#f0f0f0,Mobbin MCP cached image export,screenshot-derived
